Conversation,Description,Character,Expression,Dialogue
,,,,
Example1,Bold n'shit,BUDDEE,smile,<b>This text is bolded</b>
Example1,,Player,smile, <color=blue>This text is blue</color>
Example1,,BUDDEE,surprise,<b><color=red>This text is red and bolded.</color></b>!
Example1,,Player,smile,Well you do have a screen for a face.
Example1,,BUDDEE,smile,Fair point.
,,,,
,,,,
Example2,,BUDDEE,surprise,Did you touch that cube?
Example2,,Player,smile,I did. is that alright?
Example2,,BUDDEE,smile,But that was my favorite cube…
,,,,
,,,,
,,,,
,,,,
Intro,First dialogue after login,BUDDEE,smile,Greetings <b>{player_name}</b>! And welcome to friend finder! The most popular app for finding that special (non-romantic) someone! I'm your personal assistant <color=blue>BUDDEE</color>!
Intro,,Player,smile,Woah this website is immersive as hell!
Intro,,Player,smile,Alright chatbot. how do I get started finding that perfect partner?
Intro,,BUDDEE,smile,Oh don't you worry about that! <color=blue>BUDDEE</color> has got you covered. Try out this new account!
Intro,,System,cape,YOU GOT THE EVERYMAN ACCOUNT!
Intro,,BUDDEE,smile,With a pre-made custom account you'll be able to present the perfect personality to persuade potential <i>platonic</i> partners!
Intro,,Player,smile,Oh sweet I <b>hate</b> setting up my profile.
Intro,,BUDDEE,smile,All you have to do now is enter the forums! 
Intro,,BUDDEE,smile,Our security is sorta on the fritz right now. so you might encounter some bots or hackers about. But don't worry!
Intro,,BUDDEE,smile,You can defend yourself with your cursor by getting close and clicking in their direction! A cursor is a deadly tool you know.
Intro,,BUDDEE,smile,I'll be following to keep you safe. Just head out the door when you're ready. You've got this friend!
,,,,
,,,,
,,,,
DemoIntro,First dialogue after login,BUDDEE,smile,Greetings new user! And welcome to friend finder! The most popular app for finding that special (non-romantic) someone! I'm your personal assistant <b>BUDDEE</b>!
DemoIntro,,Player,smile,Woah this website is immersive as hell!
DemoIntro,,Player,smile,Okay chatbot. what do I do now?
DemoIntro,,BUDDEE,smile,Oh don't you worry about that! <b>BUDDEE</b> has got you covered. Just head over to that <color=red>computer</color> before getting started.
DemoIntro,,BUDDEE,surprise,With a pre-made custom account you'll be able to present the perfect personality to persuade potential (platonic) partners!
DemoIntro,,Player,smile,Okay but.. what do I do with it?
DemoIntro,,BUDDEE,smile,Simple! Once you enter the forums you're bound to encounter some unsavory folks. it's the internet after all.
DemoIntro,,BUDDEE,surprise,All you have to do is fight off those ne're-do-wells with your cursor and push forward!
DemoIntro,,BUDDEE,smile,Fair warning though. It can be like a maze in there. But I'll be there to guide you to your perfect platonic person!
